arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
robur,Quercus,Avenue de la Pepiniere / Route du Grand Marechal,48.84330787158673,2.449742615426643,2,0.4868421052631579,30.0,0.6428571428571428,1651.0587397561912,0.9410659935003205,0.8640105235724245,-1
tomentosa,Tilia,,48.88302932605956,2.3700627971907866,1,1.0,23.0,0.47619047619047616,1303.8570892754415,0.7431689361231452,1.0,-1
glyptostroboides,Metasequoia,10 Villa Sainte Croix,48.89393780726534,2.3244386625077906,1,1.0,19.0,0.38095238095238093,206.70929372472037,0.11781960397940111,0.6934356725190058,-1
x hispanica,Platanus,Avenue Daumesnil / Esplanade Saint-Louis,48.83951761273883,2.4334329799079644,39,0.0,30.0,0.6428571428571428,10.992462433609749,0.006265453997492228,0.1901514232662555,4
azedarach,Melia,1 Rue de Babylone,48.85135747474973,2.3251319038980833,1,1.0,10.0,0.16666666666666666,1546.9887379694458,0.8817484554462317,0.9272740275909213,-1
babylonica,Salix,,48.85774901106895,2.339403945743016,2,0.4868421052631579,14.0,0.26190476190476186,970.3946491787393,0.5531029167088487,0.5368856789863203,-1
atlantica,Cedrus,51 Avenue du Marechal Fayolle,48.86723653575138,2.270294775073854,8,0.10197368421052633,6.0,0.07142857142857142,390.33933771806045,0.22248455963847014,0.09687674687630088,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83222068433813,2.4105682257334626,39,0.0,27.0,0.5714285714285714,10.016270890859372,0.005709046983069077,0.1595263725554878,0
granatum,Punica,6 Place Saint Pierre,48.8856415357491,2.3438204500912323,1,1.0,3.0,0.0,99.58666168082352,0.056762135990318305,0.505388466959157,-1
x hispanica,Platanus,16 Rue Joseph Kessel,48.83416244901348,2.382559592189677,39,0.0,35.0,0.7619047619047619,1555.9099931012952,0.8868333683095763,0.6154245436111465,-1
x hispanica,Platanus,7 Avenue Winston Churchill,48.865145918298765,2.3133311934076186,39,0.0,28.0,0.5952380952380952,17.391631648967447,0.0099128351537293,0.17144426318386496,-1
x hispanica,Platanus,,48.887621002634695,2.316435229873108,39,0.0,34.0,0.7380952380952381,92.57212046523081,0.05276400676629356,0.25045139315820836,-1
